Nombre (AFORE),Estado,PEA,latitud,longitud,atracción,Enlace
INBURSA,AGUASCALIENTES,"663,122",21.8664191,-102.2984336,3,https://todosparaunospe.github.io/Aguascalientes_SH/
PROFUTURO,AGUASCALIENTES,"663,122",21.8660882,-102.284187,3,https://todosparaunospe.github.io/Aguascalientes_SH/
INVERCAP,AGUASCALIENTES,"663,122",21.8426137,-102.2934246,3,https://todosparaunospe.github.io/Aguascalientes_SH/
INVERCAP,AGUASCALIENTES,"663,122",21.912003,-102.311718,3,https://todosparaunospe.github.io/Aguascalientes_SH/
PENSIONISSSTE,AGUASCALIENTES,"663,122",21.878866,-102.292733,3,https://todosparaunospe.github.io/Aguascalientes_SH/
PENSIONISSSTE,AGUASCALIENTES,"663,122",21.8919916,-102.2971318,3,https://todosparaunospe.github.io/Aguascalientes_SH/
COPPEL,AGUASCALIENTES,"663,122",21.8852562,-102.2915677,3,https://todosparaunospe.github.io/Aguascalientes_SH/
COPPEL,AGUASCALIENTES,"663,122",21.8968415,-102.3104201,3,https://todosparaunospe.github.io/Aguascalientes_SH/
COPPEL,AGUASCALIENTES,"663,122",21.8864894,-102.2974845,3,https://todosparaunospe.github.io/Aguascalientes_SH/
COPPEL,AGUASCALIENTES,"663,122",21.886515,-102.2976025,3,https://todosparaunospe.github.io/Aguascalientes_SH/
COPPEL,AGUASCALIENTES,"663,122",22.2281359,-102.3212581,3,https://todosparaunospe.github.io/Aguascalientes_SH/
SURA,AGUASCALIENTES,"663,122",21.9110182,-102.3110379,3,https://todosparaunospe.github.io/Aguascalientes_SH/
CITIBANAMEX,AGUASCALIENTES,"663,122",21.8852245,-102.2919936,3,https://todosparaunospe.github.io/Aguascalientes_SH/
XXI-BANORTE,AGUASCALIENTES,"663,122",21.9163819,-102.3066854,3,https://todosparaunospe.github.io/Aguascalientes_SH/
XXI-BANORTE,AGUASCALIENTES,"663,122",21.8843826,-102.2718852,3,https://todosparaunospe.github.io/Aguascalientes_SH/
PRINCIPAL,AGUASCALIENTES,"663,122",21.9543946,-102.3117988,3,https://todosparaunospe.github.io/Aguascalientes_SH/
AZTECA,AGUASCALIENTES,"663,122",21.8950625,-102.3115383,3,https://todosparaunospe.github.io/Aguascalientes_SH/
INBURSA,BAJA CALIFORNIA,"1,771,133",31.8667427,-116.5963713,3,https://todosparaunospe.github.io/Baja_California_SH/
INBURSA,BAJA CALIFORNIA,"1,771,133",32.6641333,-115.4585475,3,https://todosparaunospe.github.io/Baja_California_SH/
INBURSA,BAJA CALIFORNIA,"1,771,133",32.5221457,-117.009542,3,https://todosparaunospe.github.io/Baja_California_SH/
PROFUTURO,BAJA CALIFORNIA,"1,771,133",31.8503274,-116.6091546,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",31.8627709,-116.6115453,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",32.6585858,-115.453037,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",32.6108076,-115.3860381,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",32.5754125,-116.6206957,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",32.519333,-117.0123902,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",32.4951305,-116.9584443,3,https://todosparaunospe.github.io/Baja_California_SH/
INVERCAP,BAJA CALIFORNIA,"1,771,133",32.5315181,-116.9271031,3,https://todosparaunospe.github.io/Baja_California_SH/
PENSIONISSSTE,BAJA CALIFORNIA,"1,771,133",32.494921,-116.935152,3,https://todosparaunospe.github.io/Baja_California_SH/
